Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
1.66,0,48,50,47674,22240,23870,9891,10061,11946,9393,15453,33|18|17|19|12|0|-7|-7|-8|-12|-2|16|36|44|40|26|5|-2|2|11|23|37|52,0
1.712,0,48,50,47674,22240,23870,9891,10061,11946,9393,15453,59|64|40|2|-8|17|56|84|76|43|21|17|12|-3|-18|-2,0
1.759,0,48,50,47674,22240,23870,9891,10061,11946,9393,15453,20|35|35|27|20|9|-5|-35|-40|2|43|36|-2|-10|22|71|90|76|44|27|38|41|40|49|61|67|55|35|10|3|10|18|23|20|16,0
1.797,0,48,50,47674,22240,23870,9891,10061,11946,9393,15453,17|28|29|10|-4|-5|12|45|53|35|23|22|26|38|40|35|33|38|55,0
1.844,0,48,50,47674,22240,23870,9891,10061,11946,9393,15453,66|64|42|33|25|22|21|7|-11|-18|-12|-6|-10|-7|-8|-18|-19|-7|4|9|16|21|23|28,0
1.897,0,48,50,47674,22240,23870,9891,10061,11946,9393,15453,33|16|-8|-21|-23|-6|23|37|24|19|36|49|43|48|59|82|96|86|69|56|54|53|49|41|40|38|32|20,0
1.944,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,17|22|40|45|34|25|40|45|41|35|41|35|9|2|6|9|12|18|28|48|64|57|29|9,0
1.998,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,-1|-12|-4|12|19|10|-1|-3|10|25|22|4|0|10|1|-7|-2|18|22|16|23|39|70|97|102|73|23|-3,0
2.045,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,-18|-7|16|18|1|-13|-8|9|21|35|49|27|-17|-59|-75|-50|-12|-3|-13|-4|25|40|26,0
2.098,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,-1|-18|-9|11|25|27|32|57|82|77|56|29|10|12|10|5|1|-9|-13|-6|0|19|50|54|27|-1|-5|18,0
2.145,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,52|74|56|16|-12|-13|16|48|53|21|2,0
2.198,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,25|43|2|-45|-21|32|42|35|36|53|56|51|32|-7|-34|-28|17|66|54|-12|-58|-41|-14|16|57|90|70|24|-2|1|33|88|128|96|39|17|18|38|72|105,0
2.245,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,137|151|116|52|23|26|33|26|17|21|41|56|57|50|43|50|43|44|77|92|56|-5|-40|-29,0
2.298,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,10|40|49|36|21|10|23|53|69|67|58|43|23|9|20|41|50|43|33|16|1|-9|-11|-4|9|28|49,0
2.345,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,68|59|37|11|4|20|40|42|28|11|16|21|18|5|-5|-4|12,0
2.399,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,28|37|44|64|80|87|81|51|20|18|28|38|41|39|33|37|59|68|48|33|40|51|52|51|50|48|42|32|22|33|41|35|40|41,0
2.446,0,41,60,155807,17271,10653,6546,6433,1841,1848,2863,28|19|36|56|52|28|27|44|58|60|60|65|74|73|52|20|4|11|36|55|48|24|23|49|68,0
