Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0339355,0,74,77,1684073,187844,128913,61836,25400,31618,33703,6290,100|100|100|91|83|66|58|56|65|75|86|88|82|85|83|68|60|69,0
0.0689697,0,74,77,1684073,187844,128913,61836,25400,31618,33703,6290,81|77|55|23|8|26|58|71|66|70|77|74|61|60|59|58|53,0
0.104004,0,74,77,1684073,187844,128913,61836,25400,31618,33703,6290,43|26|24|38|49|60|70|57|38|18|20|21|10|10|21|26|34|32,0
0.136963,0,74,77,1684073,187844,128913,61836,25400,31618,33703,6290,22|19|9|2|4|3|-6|-14|-10|0|16|28|29|21|13|8|11,0
0.170044,0,74,77,1684073,187844,128913,61836,25400,31618,33703,6290,33|51|38|6|-1|7|8|12|11|20|26|19|12|8|-1|-2|11|26,0
0.203979,0,74,77,1684073,187844,128913,61836,25400,31618,33703,6290,28|29|28|27|17|4|10|26|9|-12|-17|-8|3|18|35|38|10,0
0.236938,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,-9|-12|-5|2|0|-11|-20|-14|-3|5|18|8|12|34,0
0.270996,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,65|83|53|27|26|21|21|18|11|11|5|-7|-13|-10|1|2|-4|-2|0|-5|-3,0
0.305908,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,12|28|29|18|34|55|56|43|27|19|28|34|35|19|10|16,0
0.338989,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,22|25|23|27|38|40|34|33|38|28|-1|-7|4|6|7|9|10|7,0
0.374023,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,-13|-39|-53|-53|-39|-22|-21|-35|-44|-42|-36|-28|-36|-42|-44|-36|-44,0
0.409058,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,-40|-18|-11|-28|-46|-43|-27|-13|-4|3|10|20|18|8|3|1|8|25|33,0
0.442993,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,20|12|21|34|40|32|24|16|19|33|41|37|20|11|16|8|6,0
0.476929,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,19|27|37|56|71|59|45|49|54|56,0
0.512085,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,61|66|64|54|43|44|41|34|29|12|-11|-23|-35|-50|-57|-60|-66|-66|-49|-26|-39|-62|-57|-35|-10,0
0.546997,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,-10|-8|2|19|22|8|-9|-10|6|12|2|4|16|37|54|52|33|23,0
0.581055,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,29|38|43|59|57|35|16|20|36|49|71|83|74|72|85|88|65|49,0
0.61499,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,50|58|84|96|90|86,0
0.647949,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,83|87|86|86|86|66|35|22|13|3|0|-7|-26|-39|-41|-50|-55|-37|-4|12|12|22|43|67|82|98|98|85,0
0.682007,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,70|56|53|68|64|53|68|81|81|80|76|88|93|96|86|70|52|41,0
0.715942,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,49|49|43|50|51|44|53|84|87|68|60|53|57|70|71|72|70,0
0.75,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,72|75|60|48|61|74|70|66|76|83|70|43|19|3|-10|-28|-21|8,0
0.784058,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,35|36|23|38|73|100|105|93|75|70|61|44|34|21|6|7|21,0
0.817993,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,25|32|42|43|34|18|9|23|41|45|48|42|23|11|7|10|10,0
0.850952,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,10|19|18|8|12|10|13|20|18|17|22|22|13|17|33|40|43,0
0.88501,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,39|34|35|27|27|25|34|50|52|51|55|58|39|5|-5|-4|-12,0
0.918945,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,-20|1|40|82|85|56,0
0.953003,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,57|66|54|40|13|-25|-34|-29|-44|-73|-99|-82|-62|-50|-42|-55|-50|-26|-10|20|49|43|25|16|26|49|53|37,0
0.987061,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,27|37|51|82|115|148|160|155|145|132|123|113|93|82|72|68|43|39|57,0
1.0199,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,67|58|53|59|56|56|58|56|45|32|28|32|21|-4|-22|-22|-11,0
1.05505,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,4|1|-25|-46|-67|-70|-51|-37|-24|-11|-17|-45|-54|-40|-23|-35,0
1.08801,0,48,63,73247,156396,16319,15083,17087,8265,2808,4003,-52|-66|-65|-51|-40|-35|-24|-20|-6|10|27|49|59|56|44|36|32|18|13,0
